gene,chr,start,end,strand,attributes
534M_014.2631,chr4,14241806,14247801,-,"{'ID': '534M_014.2631', 'Name': '534M_014.2631'}"
534M_014.2630,chr4,14260790,14260990,+,"{'ID': '534M_014.2630', 'Name': '534M_014.2630'}"
534M_014.2629,chr4,14262129,14275730,+,"{'ID': '534M_014.2629', 'Name': '534M_014.2629'}"
534M_014.2628,chr4,14281507,14286191,-,"{'ID': '534M_014.2628', 'Name': '534M_014.2628'}"
534M_014.2627,chr4,14289061,14289246,+,"{'ID': '534M_014.2627', 'Name': '534M_014.2627'}"
534M_014.2626,chr4,14305391,14306276,+,"{'ID': '534M_014.2626', 'Name': '534M_014.2626'}"
534M_014.2625,chr4,14499880,14500884,-,"{'ID': '534M_014.2625', 'Name': '534M_014.2625'}"
534M_014.2624,chr4,14511828,14512823,-,"{'ID': '534M_014.2624', 'Name': '534M_014.2624'}"
534M_014.2623,chr4,14521676,14523302,-,"{'ID': '534M_014.2623', 'Name': '534M_014.2623'}"
534M_014.2622,chr4,14534625,14534858,+,"{'ID': '534M_014.2622', 'Name': '534M_014.2622'}"
534M_014.2621,chr4,14575705,14577714,-,"{'ID': '534M_014.2621', 'Name': '534M_014.2621'}"
534M_014.2620,chr4,14579552,14579884,+,"{'ID': '534M_014.2620', 'Name': '534M_014.2620'}"
534M_014.2619,chr4,14586091,14588137,-,"{'ID': '534M_014.2619', 'Name': '534M_014.2619'}"
534M_014.2618,chr4,14615938,14619889,-,"{'ID': '534M_014.2618', 'Name': '534M_014.2618'}"
534M_014.2617,chr4,14632440,14636962,+,"{'ID': '534M_014.2617', 'Name': '534M_014.2617'}"
534M_014.2616,chr4,14638271,14638636,-,"{'ID': '534M_014.2616', 'Name': '534M_014.2616'}"
534M_014.2615,chr4,14642144,14644669,-,"{'ID': '534M_014.2615', 'Name': '534M_014.2615'}"
534M_014.2614,chr4,14652067,14654613,-,"{'ID': '534M_014.2614', 'Name': '534M_014.2614'}"
534M_014.2613,chr4,14667829,14668460,+,"{'ID': '534M_014.2613', 'Name': '534M_014.2613'}"
534M_014.2612,chr4,14680453,14683877,+,"{'ID': '534M_014.2612', 'Name': '534M_014.2612'}"
534M_014.2611,chr4,14683899,14685646,-,"{'ID': '534M_014.2611', 'Name': '534M_014.2611'}"
534M_014.2610,chr4,14700690,14701142,+,"{'ID': '534M_014.2610', 'Name': '534M_014.2610'}"
534M_014.2609,chr4,14702441,14702648,-,"{'ID': '534M_014.2609', 'Name': '534M_014.2609'}"
534M_014.2608,chr4,14706336,14708177,+,"{'ID': '534M_014.2608', 'Name': '534M_014.2608'}"
534M_014.2607,chr4,14713822,14717585,+,"{'ID': '534M_014.2607', 'Name': '534M_014.2607'}"
534M_014.2606,chr4,14725279,14727798,-,"{'ID': '534M_014.2606', 'Name': '534M_014.2606'}"
534M_014.2605,chr4,14776974,14779648,-,"{'ID': '534M_014.2605', 'Name': '534M_014.2605'}"
534M_014.2604,chr4,14833283,14835259,+,"{'ID': '534M_014.2604', 'Name': '534M_014.2604'}"
534M_014.2603,chr4,14836115,14850304,-,"{'ID': '534M_014.2603', 'Name': '534M_014.2603'}"
534M_014.2602,chr4,14851225,14851547,-,"{'ID': '534M_014.2602', 'Name': '534M_014.2602'}"
534M_014.2601,chr4,14854751,14866489,-,"{'ID': '534M_014.2601', 'Name': '534M_014.2601'}"
534M_014.2600,chr4,14885334,14887538,+,"{'ID': '534M_014.2600', 'Name': '534M_014.2600'}"
534M_014.2599,chr4,14904552,14905922,-,"{'ID': '534M_014.2599', 'Name': '534M_014.2599'}"
534M_014.2598,chr4,14920998,14921345,+,"{'ID': '534M_014.2598', 'Name': '534M_014.2598'}"
534M_014.2597,chr4,14943215,14944699,+,"{'ID': '534M_014.2597', 'Name': '534M_014.2597'}"
534M_014.2596,chr4,14968309,14969136,+,"{'ID': '534M_014.2596', 'Name': '534M_014.2596'}"
534M_014.2595,chr4,14974686,14974931,-,"{'ID': '534M_014.2595', 'Name': '534M_014.2595'}"
534M_014.2594,chr4,14980127,14981024,-,"{'ID': '534M_014.2594', 'Name': '534M_014.2594'}"
534M_014.2593,chr4,14984220,14984816,-,"{'ID': '534M_014.2593', 'Name': '534M_014.2593'}"
534M_014.2592,chr4,14986459,14987711,-,"{'ID': '534M_014.2592', 'Name': '534M_014.2592'}"
534M_014.2591,chr4,14987945,14999182,-,"{'ID': '534M_014.2591', 'Name': '534M_014.2591'}"
534M_014.2590,chr4,15004018,15010059,+,"{'ID': '534M_014.2590', 'Name': '534M_014.2590'}"
534M_014.2589,chr4,15013058,15014250,+,"{'ID': '534M_014.2589', 'Name': '534M_014.2589'}"
534M_014.2588,chr4,15020334,15037334,+,"{'ID': '534M_014.2588', 'Name': '534M_014.2588'}"
534M_014.2587,chr4,15038955,15039179,+,"{'ID': '534M_014.2587', 'Name': '534M_014.2587'}"
534M_014.2586,chr4,15050447,15051416,-,"{'ID': '534M_014.2586', 'Name': '534M_014.2586'}"
534M_014.2585,chr4,15052273,15052467,+,"{'ID': '534M_014.2585', 'Name': '534M_014.2585'}"
534M_014.2584,chr4,15074624,15080299,+,"{'ID': '534M_014.2584', 'Name': '534M_014.2584'}"
534M_014.2583,chr4,15091364,15093806,+,"{'ID': '534M_014.2583', 'Name': '534M_014.2583'}"
534M_014.2582,chr4,15103338,15105434,+,"{'ID': '534M_014.2582', 'Name': '534M_014.2582'}"
534M_014.2581,chr4,15119879,15124621,+,"{'ID': '534M_014.2581', 'Name': '534M_014.2581'}"
534M_014.2580,chr4,15134381,15136432,-,"{'ID': '534M_014.2580', 'Name': '534M_014.2580'}"
534M_014.2579,chr4,15137727,15138767,-,"{'ID': '534M_014.2579', 'Name': '534M_014.2579'}"
534M_014.2578,chr4,15198864,15200065,+,"{'ID': '534M_014.2578', 'Name': '534M_014.2578'}"
534M_014.2577,chr4,15224819,15226872,-,"{'ID': '534M_014.2577', 'Name': '534M_014.2577'}"
534M_014.2576,chr4,15232866,15233740,-,"{'ID': '534M_014.2576', 'Name': '534M_014.2576'}"
534M_014.2575,chr4,15234291,15235219,+,"{'ID': '534M_014.2575', 'Name': '534M_014.2575'}"
534M_014.2574,chr4,15250391,15256151,+,"{'ID': '534M_014.2574', 'Name': '534M_014.2574'}"
534M_014.2573,chr4,15260980,15261757,-,"{'ID': '534M_014.2573', 'Name': '534M_014.2573'}"
534M_014.2572,chr4,15262218,15262454,+,"{'ID': '534M_014.2572', 'Name': '534M_014.2572'}"
534M_014.2571,chr4,15267469,15269380,-,"{'ID': '534M_014.2571', 'Name': '534M_014.2571'}"
534M_014.2570,chr4,15277270,15287992,+,"{'ID': '534M_014.2570', 'Name': '534M_014.2570'}"
534M_014.2569,chr4,15302997,15305272,+,"{'ID': '534M_014.2569', 'Name': '534M_014.2569'}"
534M_014.2568,chr4,15307840,15309612,-,"{'ID': '534M_014.2568', 'Name': '534M_014.2568'}"
534M_014.2567,chr4,15320582,15320914,+,"{'ID': '534M_014.2567', 'Name': '534M_014.2567'}"
534M_014.2566,chr4,15324791,15324996,-,"{'ID': '534M_014.2566', 'Name': '534M_014.2566'}"
534M_014.2565,chr4,15343938,15345800,+,"{'ID': '534M_014.2565', 'Name': '534M_014.2565'}"
534M_014.2564,chr4,15349509,15351014,-,"{'ID': '534M_014.2564', 'Name': '534M_014.2564'}"
534M_014.2563,chr4,15352056,15352424,-,"{'ID': '534M_014.2563', 'Name': '534M_014.2563'}"
534M_014.2562,chr4,15364700,15366019,+,"{'ID': '534M_014.2562', 'Name': '534M_014.2562'}"
534M_014.2561,chr4,15382288,15382802,+,"{'ID': '534M_014.2561', 'Name': '534M_014.2561'}"
534M_014.2560,chr4,15390273,15390902,+,"{'ID': '534M_014.2560', 'Name': '534M_014.2560'}"
534M_014.2559,chr4,15394340,15394970,+,"{'ID': '534M_014.2559', 'Name': '534M_014.2559'}"
534M_014.2558,chr4,15405170,15410885,-,"{'ID': '534M_014.2558', 'Name': '534M_014.2558'}"
534M_014.2557,chr4,15425501,15425755,+,"{'ID': '534M_014.2557', 'Name': '534M_014.2557'}"
534M_014.2556,chr4,15431712,15432669,+,"{'ID': '534M_014.2556', 'Name': '534M_014.2556'}"
534M_014.2555,chr4,15439534,15440163,+,"{'ID': '534M_014.2555', 'Name': '534M_014.2555'}"
534M_014.2554,chr4,15448302,15449900,-,"{'ID': '534M_014.2554', 'Name': '534M_014.2554'}"
534M_014.2553,chr4,15479611,15481709,+,"{'ID': '534M_014.2553', 'Name': '534M_014.2553'}"
534M_014.2552,chr4,15511059,15511262,+,"{'ID': '534M_014.2552', 'Name': '534M_014.2552'}"
534M_014.2551,chr4,15533653,15533940,-,"{'ID': '534M_014.2551', 'Name': '534M_014.2551'}"
534M_014.2550,chr4,15537503,15539026,-,"{'ID': '534M_014.2550', 'Name': '534M_014.2550'}"
534M_014.2549,chr4,15608085,15608930,-,"{'ID': '534M_014.2549', 'Name': '534M_014.2549'}"
534M_014.2548,chr4,15614229,15615436,+,"{'ID': '534M_014.2548', 'Name': '534M_014.2548'}"
534M_014.2547,chr4,15615439,15616881,+,"{'ID': '534M_014.2547', 'Name': '534M_014.2547'}"
534M_014.2546,chr4,15638183,15640461,+,"{'ID': '534M_014.2546', 'Name': '534M_014.2546'}"
534M_014.2545,chr4,15642023,15643605,+,"{'ID': '534M_014.2545', 'Name': '534M_014.2545'}"
534M_014.2544,chr4,15657735,15659329,+,"{'ID': '534M_014.2544', 'Name': '534M_014.2544'}"
534M_014.2543,chr4,15666364,15666717,-,"{'ID': '534M_014.2543', 'Name': '534M_014.2543'}"
534M_014.2542,chr4,15674644,15674997,-,"{'ID': '534M_014.2542', 'Name': '534M_014.2542'}"
534M_014.2541,chr4,15727481,15727834,-,"{'ID': '534M_014.2541', 'Name': '534M_014.2541'}"
534M_014.2540,chr4,15744171,15744551,+,"{'ID': '534M_014.2540', 'Name': '534M_014.2540'}"
534M_014.2539,chr4,15750086,15750274,-,"{'ID': '534M_014.2539', 'Name': '534M_014.2539'}"
534M_014.2538,chr4,15755126,15756538,-,"{'ID': '534M_014.2538', 'Name': '534M_014.2538'}"
534M_014.2537,chr4,15768643,15768927,+,"{'ID': '534M_014.2537', 'Name': '534M_014.2537'}"
534M_014.2536,chr4,15772263,15772790,+,"{'ID': '534M_014.2536', 'Name': '534M_014.2536'}"
534M_014.2535,chr4,15786456,15786862,+,"{'ID': '534M_014.2535', 'Name': '534M_014.2535'}"
534M_014.2534,chr4,15804290,15804730,+,"{'ID': '534M_014.2534', 'Name': '534M_014.2534'}"
534M_014.2533,chr4,15842450,15842668,+,"{'ID': '534M_014.2533', 'Name': '534M_014.2533'}"
534M_014.2532,chr4,15850404,15853106,+,"{'ID': '534M_014.2532', 'Name': '534M_014.2532'}"
534M_014.2531,chr4,15854845,15856275,+,"{'ID': '534M_014.2531', 'Name': '534M_014.2531'}"
534M_014.2530,chr4,15867308,15868798,+,"{'ID': '534M_014.2530', 'Name': '534M_014.2530'}"
534M_014.2529,chr4,15870087,15878482,-,"{'ID': '534M_014.2529', 'Name': '534M_014.2529'}"
534M_014.2528,chr4,15887302,15891129,+,"{'ID': '534M_014.2528', 'Name': '534M_014.2528'}"
534M_014.2527,chr4,15893455,15896684,-,"{'ID': '534M_014.2527', 'Name': '534M_014.2527'}"
534M_014.2526,chr4,15917377,15918942,-,"{'ID': '534M_014.2526', 'Name': '534M_014.2526'}"
534M_014.2525,chr4,15921987,15934614,-,"{'ID': '534M_014.2525', 'Name': '534M_014.2525'}"
534M_014.2524,chr4,15962373,15964464,+,"{'ID': '534M_014.2524', 'Name': '534M_014.2524'}"
534M_014.2523,chr4,15967000,15967302,-,"{'ID': '534M_014.2523', 'Name': '534M_014.2523'}"
534M_014.2522,chr4,15975177,15976568,+,"{'ID': '534M_014.2522', 'Name': '534M_014.2522'}"
534M_014.2521,chr4,15979726,15980482,+,"{'ID': '534M_014.2521', 'Name': '534M_014.2521'}"
534M_014.2520,chr4,15982280,15982615,+,"{'ID': '534M_014.2520', 'Name': '534M_014.2520'}"
534M_014.2519,chr4,15984633,15987803,+,"{'ID': '534M_014.2519', 'Name': '534M_014.2519'}"
534M_014.2518,chr4,15988539,15994193,-,"{'ID': '534M_014.2518', 'Name': '534M_014.2518'}"
534M_014.2517,chr4,15996800,16001743,-,"{'ID': '534M_014.2517', 'Name': '534M_014.2517'}"
534M_014.2516,chr4,16003759,16005660,-,"{'ID': '534M_014.2516', 'Name': '534M_014.2516'}"
534M_014.2515,chr4,16038998,16039843,-,"{'ID': '534M_014.2515', 'Name': '534M_014.2515'}"
534M_014.2514,chr4,16044858,16047769,+,"{'ID': '534M_014.2514', 'Name': '534M_014.2514'}"
534M_014.2513,chr4,16062754,16065052,+,"{'ID': '534M_014.2513', 'Name': '534M_014.2513'}"
534M_014.2512,chr4,16066443,16074067,+,"{'ID': '534M_014.2512', 'Name': '534M_014.2512'}"
534M_014.2511,chr4,16094556,16094999,+,"{'ID': '534M_014.2511', 'Name': '534M_014.2511'}"
534M_014.2510,chr4,16102738,16103613,+,"{'ID': '534M_014.2510', 'Name': '534M_014.2510'}"
534M_014.2509,chr4,16143222,16144121,+,"{'ID': '534M_014.2509', 'Name': '534M_014.2509'}"
534M_014.2508,chr4,16151167,16152690,+,"{'ID': '534M_014.2508', 'Name': '534M_014.2508'}"
534M_014.2507,chr4,16169135,16170242,+,"{'ID': '534M_014.2507', 'Name': '534M_014.2507'}"
534M_014.2506,chr4,16172209,16173050,+,"{'ID': '534M_014.2506', 'Name': '534M_014.2506'}"
534M_014.2505,chr4,16189063,16189362,-,"{'ID': '534M_014.2505', 'Name': '534M_014.2505'}"
534M_014.2504,chr4,16206646,16208241,+,"{'ID': '534M_014.2504', 'Name': '534M_014.2504'}"
534M_014.2503,chr4,16216957,16217586,-,"{'ID': '534M_014.2503', 'Name': '534M_014.2503'}"
534M_014.2502,chr4,16224927,16225920,-,"{'ID': '534M_014.2502', 'Name': '534M_014.2502'}"
534M_014.2501,chr4,16244111,16249810,+,"{'ID': '534M_014.2501', 'Name': '534M_014.2501'}"
534M_014.2500,chr4,16260014,16260643,-,"{'ID': '534M_014.2500', 'Name': '534M_014.2500'}"
534M_014.2499,chr4,16264016,16264645,-,"{'ID': '534M_014.2499', 'Name': '534M_014.2499'}"
534M_014.2498,chr4,16275256,16275897,+,"{'ID': '534M_014.2498', 'Name': '534M_014.2498'}"
534M_014.2497,chr4,16279386,16287850,+,"{'ID': '534M_014.2497', 'Name': '534M_014.2497'}"
534M_014.2496,chr4,16289073,16290563,-,"{'ID': '534M_014.2496', 'Name': '534M_014.2496'}"
534M_014.2495,chr4,16301679,16303157,-,"{'ID': '534M_014.2495', 'Name': '534M_014.2495'}"
534M_014.2494,chr4,16304807,16307507,-,"{'ID': '534M_014.2494', 'Name': '534M_014.2494'}"
534M_014.2493,chr4,16318107,16321312,+,"{'ID': '534M_014.2493', 'Name': '534M_014.2493'}"
534M_014.2492,chr4,16335254,16335598,-,"{'ID': '534M_014.2492', 'Name': '534M_014.2492'}"
534M_014.2491,chr4,16364184,16365250,-,"{'ID': '534M_014.2491', 'Name': '534M_014.2491'}"
534M_014.2490,chr4,16378120,16380566,-,"{'ID': '534M_014.2490', 'Name': '534M_014.2490'}"
534M_014.2489,chr4,16409692,16409931,-,"{'ID': '534M_014.2489', 'Name': '534M_014.2489'}"
534M_014.2488,chr4,16413511,16414176,+,"{'ID': '534M_014.2488', 'Name': '534M_014.2488'}"
534M_014.2487,chr4,16426814,16427082,+,"{'ID': '534M_014.2487', 'Name': '534M_014.2487'}"
534M_014.2486,chr4,16429934,16431619,+,"{'ID': '534M_014.2486', 'Name': '534M_014.2486'}"
534M_014.2485,chr4,16437654,16437842,+,"{'ID': '534M_014.2485', 'Name': '534M_014.2485'}"
534M_014.2484,chr4,16443429,16443845,-,"{'ID': '534M_014.2484', 'Name': '534M_014.2484'}"
534M_014.2483,chr4,16455687,16456377,+,"{'ID': '534M_014.2483', 'Name': '534M_014.2483'}"
534M_014.2482,chr4,16470959,16471312,+,"{'ID': '534M_014.2482', 'Name': '534M_014.2482'}"
534M_014.2481,chr4,16479233,16479586,+,"{'ID': '534M_014.2481', 'Name': '534M_014.2481'}"
534M_014.2480,chr4,16484659,16486235,-,"{'ID': '534M_014.2480', 'Name': '534M_014.2480'}"
534M_014.2479,chr4,16500352,16501926,-,"{'ID': '534M_014.2479', 'Name': '534M_014.2479'}"
534M_014.2478,chr4,16502418,16531067,-,"{'ID': '534M_014.2478', 'Name': '534M_014.2478'}"
534M_014.2477,chr4,16533469,16536710,+,"{'ID': '534M_014.2477', 'Name': '534M_014.2477'}"
534M_014.2476,chr4,16537051,16538689,-,"{'ID': '534M_014.2476', 'Name': '534M_014.2476'}"
534M_014.2475,chr4,16545567,16546577,+,"{'ID': '534M_014.2475', 'Name': '534M_014.2475'}"
534M_014.2474,chr4,16558370,16575799,-,"{'ID': '534M_014.2474', 'Name': '534M_014.2474'}"
534M_014.2473,chr4,16610782,16612495,+,"{'ID': '534M_014.2473', 'Name': '534M_014.2473'}"
534M_014.2472,chr4,16619045,16619365,-,"{'ID': '534M_014.2472', 'Name': '534M_014.2472'}"
534M_014.2471,chr4,16633734,16634561,-,"{'ID': '534M_014.2471', 'Name': '534M_014.2471'}"
534M_014.2470,chr4,16647494,16647985,+,"{'ID': '534M_014.2470', 'Name': '534M_014.2470'}"
534M_014.2469,chr4,16676276,16676521,+,"{'ID': '534M_014.2469', 'Name': '534M_014.2469'}"
534M_014.2468,chr4,16688054,16688806,-,"{'ID': '534M_014.2468', 'Name': '534M_014.2468'}"
534M_014.2467,chr4,16689391,16690080,+,"{'ID': '534M_014.2467', 'Name': '534M_014.2467'}"
534M_014.2466,chr4,16703437,16704493,-,"{'ID': '534M_014.2466', 'Name': '534M_014.2466'}"
534M_014.2465,chr4,16776443,16777065,+,"{'ID': '534M_014.2465', 'Name': '534M_014.2465'}"
534M_014.2464,chr4,16832165,16842054,-,"{'ID': '534M_014.2464', 'Name': '534M_014.2464'}"
534M_014.2463,chr4,16862457,16863215,-,"{'ID': '534M_014.2463', 'Name': '534M_014.2463'}"
534M_014.2462,chr4,16871301,16879894,-,"{'ID': '534M_014.2462', 'Name': '534M_014.2462'}"
534M_014.2461,chr4,16891640,16906068,+,"{'ID': '534M_014.2461', 'Name': '534M_014.2461'}"
534M_014.2460,chr4,16915295,16920238,+,"{'ID': '534M_014.2460', 'Name': '534M_014.2460'}"
534M_014.2459,chr4,16931444,16938378,+,"{'ID': '534M_014.2459', 'Name': '534M_014.2459'}"
534M_014.2458,chr4,16942503,16945392,+,"{'ID': '534M_014.2458', 'Name': '534M_014.2458'}"
534M_014.2457,chr4,16951220,16953895,+,"{'ID': '534M_014.2457', 'Name': '534M_014.2457'}"
534M_014.2456,chr4,16965586,16965792,+,"{'ID': '534M_014.2456', 'Name': '534M_014.2456'}"
534M_014.2455,chr4,16975396,16980349,+,"{'ID': '534M_014.2455', 'Name': '534M_014.2455'}"
534M_014.2454,chr4,16992098,16995496,-,"{'ID': '534M_014.2454', 'Name': '534M_014.2454'}"
534M_014.2453,chr4,17017206,17017738,+,"{'ID': '534M_014.2453', 'Name': '534M_014.2453'}"
534M_014.2452,chr4,17024850,17027892,+,"{'ID': '534M_014.2452', 'Name': '534M_014.2452'}"
534M_014.2451,chr4,17039989,17043470,+,"{'ID': '534M_014.2451', 'Name': '534M_014.2451'}"
534M_014.2450,chr4,17045722,17050370,-,"{'ID': '534M_014.2450', 'Name': '534M_014.2450'}"
534M_014.2449,chr4,17055919,17056173,-,"{'ID': '534M_014.2449', 'Name': '534M_014.2449'}"
534M_014.2448,chr4,17060294,17084459,-,"{'ID': '534M_014.2448', 'Name': '534M_014.2448'}"
534M_014.2447,chr4,17096442,17110369,-,"{'ID': '534M_014.2447', 'Name': '534M_014.2447'}"
534M_014.2446,chr4,17144092,17145715,+,"{'ID': '534M_014.2446', 'Name': '534M_014.2446'}"
534M_014.2445,chr4,17152808,17153521,-,"{'ID': '534M_014.2445', 'Name': '534M_014.2445'}"
534M_014.2444,chr4,17164064,17165666,-,"{'ID': '534M_014.2444', 'Name': '534M_014.2444'}"
534M_014.2443,chr4,17173100,17173477,+,"{'ID': '534M_014.2443', 'Name': '534M_014.2443'}"
534M_014.2442,chr4,17194730,17205926,-,"{'ID': '534M_014.2442', 'Name': '534M_014.2442'}"
534M_014.2441,chr4,17216494,17216715,+,"{'ID': '534M_014.2441', 'Name': '534M_014.2441'}"
534M_014.2440,chr4,17220790,17221567,-,"{'ID': '534M_014.2440', 'Name': '534M_014.2440'}"
534M_014.2439,chr4,17230301,17234864,-,"{'ID': '534M_014.2439', 'Name': '534M_014.2439'}"
534M_014.2438,chr4,17242367,17243927,-,"{'ID': '534M_014.2438', 'Name': '534M_014.2438'}"
534M_014.2437,chr4,17244200,17245604,+,"{'ID': '534M_014.2437', 'Name': '534M_014.2437'}"
534M_014.2436,chr4,17254523,17254831,-,"{'ID': '534M_014.2436', 'Name': '534M_014.2436'}"
534M_014.2435,chr4,17254842,17255036,-,"{'ID': '534M_014.2435', 'Name': '534M_014.2435'}"
534M_014.2434,chr4,17257161,17261717,-,"{'ID': '534M_014.2434', 'Name': '534M_014.2434'}"
534M_014.2433,chr4,17273566,17273889,-,"{'ID': '534M_014.2433', 'Name': '534M_014.2433'}"
534M_014.2432,chr4,17279324,17280746,+,"{'ID': '534M_014.2432', 'Name': '534M_014.2432'}"
534M_014.2431,chr4,17280923,17281285,-,"{'ID': '534M_014.2431', 'Name': '534M_014.2431'}"
534M_014.2430,chr4,17283821,17284099,-,"{'ID': '534M_014.2430', 'Name': '534M_014.2430'}"
534M_014.2429,chr4,17319478,17319726,-,"{'ID': '534M_014.2429', 'Name': '534M_014.2429'}"
534M_014.2428,chr4,17322533,17330242,-,"{'ID': '534M_014.2428', 'Name': '534M_014.2428'}"
534M_014.2427,chr4,17372666,17374204,-,"{'ID': '534M_014.2427', 'Name': '534M_014.2427'}"
534M_014.2426,chr4,17393371,17396750,-,"{'ID': '534M_014.2426', 'Name': '534M_014.2426'}"
534M_014.2425,chr4,17423298,17427822,-,"{'ID': '534M_014.2425', 'Name': '534M_014.2425'}"
534M_014.2424,chr4,17431092,17432949,-,"{'ID': '534M_014.2424', 'Name': '534M_014.2424'}"
534M_014.2423,chr4,17440308,17440727,-,"{'ID': '534M_014.2423', 'Name': '534M_014.2423'}"
534M_014.2422,chr4,17445466,17445726,+,"{'ID': '534M_014.2422', 'Name': '534M_014.2422'}"
534M_014.2421,chr4,17450473,17453862,-,"{'ID': '534M_014.2421', 'Name': '534M_014.2421'}"
534M_014.2420,chr4,17463173,17467356,+,"{'ID': '534M_014.2420', 'Name': '534M_014.2420'}"
534M_014.2419,chr4,17470010,17471927,-,"{'ID': '534M_014.2419', 'Name': '534M_014.2419'}"
534M_014.2418,chr4,17485083,17489145,+,"{'ID': '534M_014.2418', 'Name': '534M_014.2418'}"
534M_014.2417,chr4,17492665,17502647,+,"{'ID': '534M_014.2417', 'Name': '534M_014.2417'}"
534M_014.2416,chr4,17524388,17526689,+,"{'ID': '534M_014.2416', 'Name': '534M_014.2416'}"
534M_014.2415,chr4,17553580,17557356,-,"{'ID': '534M_014.2415', 'Name': '534M_014.2415'}"
534M_014.2414,chr4,17567830,17569149,-,"{'ID': '534M_014.2414', 'Name': '534M_014.2414'}"
534M_014.2413,chr4,17576163,17581686,+,"{'ID': '534M_014.2413', 'Name': '534M_014.2413'}"
534M_014.2412,chr4,17583875,17598632,+,"{'ID': '534M_014.2412', 'Name': '534M_014.2412'}"
534M_014.2411,chr4,17599680,17601094,+,"{'ID': '534M_014.2411', 'Name': '534M_014.2411'}"
534M_014.2410,chr4,17601270,17606998,+,"{'ID': '534M_014.2410', 'Name': '534M_014.2410'}"
534M_014.2409,chr4,17608788,17614189,+,"{'ID': '534M_014.2409', 'Name': '534M_014.2409'}"
534M_014.2408,chr4,17615892,17618994,-,"{'ID': '534M_014.2408', 'Name': '534M_014.2408'}"
534M_014.2407,chr4,17623171,17624294,+,"{'ID': '534M_014.2407', 'Name': '534M_014.2407'}"
534M_014.2406,chr4,17628266,17634918,+,"{'ID': '534M_014.2406', 'Name': '534M_014.2406'}"
534M_014.2405,chr4,17638842,17641876,-,"{'ID': '534M_014.2405', 'Name': '534M_014.2405'}"
534M_014.2404,chr4,17650841,17653290,+,"{'ID': '534M_014.2404', 'Name': '534M_014.2404'}"
534M_014.2403,chr4,17662352,17665590,+,"{'ID': '534M_014.2403', 'Name': '534M_014.2403'}"
534M_014.2402,chr4,17669584,17670461,+,"{'ID': '534M_014.2402', 'Name': '534M_014.2402'}"
534M_014.2401,chr4,17672684,17675382,+,"{'ID': '534M_014.2401', 'Name': '534M_014.2401'}"
534M_014.2400,chr4,17685541,17688696,+,"{'ID': '534M_014.2400', 'Name': '534M_014.2400'}"
534M_014.2399,chr4,17693284,17699316,-,"{'ID': '534M_014.2399', 'Name': '534M_014.2399'}"
534M_014.2398,chr4,17700685,17702960,-,"{'ID': '534M_014.2398', 'Name': '534M_014.2398'}"
534M_014.2397,chr4,17706281,17707576,-,"{'ID': '534M_014.2397', 'Name': '534M_014.2397'}"
534M_014.2396,chr4,17715158,17717401,+,"{'ID': '534M_014.2396', 'Name': '534M_014.2396'}"
534M_014.2395,chr4,17720665,17725480,-,"{'ID': '534M_014.2395', 'Name': '534M_014.2395'}"
534M_014.2394,chr4,17729646,17730008,-,"{'ID': '534M_014.2394', 'Name': '534M_014.2394'}"
534M_014.2393,chr4,17732781,17733065,+,"{'ID': '534M_014.2393', 'Name': '534M_014.2393'}"
534M_014.2392,chr4,17733155,17733355,+,"{'ID': '534M_014.2392', 'Name': '534M_014.2392'}"
534M_014.2391,chr4,17734420,17736690,+,"{'ID': '534M_014.2391', 'Name': '534M_014.2391'}"
534M_014.2390,chr4,17740508,17740963,-,"{'ID': '534M_014.2390', 'Name': '534M_014.2390'}"
534M_014.2389,chr4,17746464,17753401,+,"{'ID': '534M_014.2389', 'Name': '534M_014.2389'}"
534M_014.2388,chr4,17759857,17760099,-,"{'ID': '534M_014.2388', 'Name': '534M_014.2388'}"
534M_014.2387,chr4,17768150,17768566,-,"{'ID': '534M_014.2387', 'Name': '534M_014.2387'}"
534M_014.2386,chr4,17778312,17781195,-,"{'ID': '534M_014.2386', 'Name': '534M_014.2386'}"
534M_014.2385,chr4,17795084,17798751,+,"{'ID': '534M_014.2385', 'Name': '534M_014.2385'}"
534M_014.2384,chr4,17801820,17802020,+,"{'ID': '534M_014.2384', 'Name': '534M_014.2384'}"
534M_014.2383,chr4,17805728,17805931,+,"{'ID': '534M_014.2383', 'Name': '534M_014.2383'}"
534M_014.2382,chr4,17808995,17809204,+,"{'ID': '534M_014.2382', 'Name': '534M_014.2382'}"
534M_014.2381,chr4,17823151,17823354,+,"{'ID': '534M_014.2381', 'Name': '534M_014.2381'}"
534M_014.2380,chr4,17832202,17832514,-,"{'ID': '534M_014.2380', 'Name': '534M_014.2380'}"
534M_014.2379,chr4,17837271,17837456,-,"{'ID': '534M_014.2379', 'Name': '534M_014.2379'}"
534M_014.2378,chr4,17839231,17839431,+,"{'ID': '534M_014.2378', 'Name': '534M_014.2378'}"
534M_014.2377,chr4,17844650,17845273,+,"{'ID': '534M_014.2377', 'Name': '534M_014.2377'}"
534M_014.2376,chr4,17851358,17855037,-,"{'ID': '534M_014.2376', 'Name': '534M_014.2376'}"
534M_014.2375,chr4,17859741,17860064,+,"{'ID': '534M_014.2375', 'Name': '534M_014.2375'}"
534M_014.2374,chr4,17877959,17893390,-,"{'ID': '534M_014.2374', 'Name': '534M_014.2374'}"
